"Index","Header","Title","Context"
1,"Blue Lotus 360","About","Blue Lotus 360 develops and delivers ERP software for customers around the world who construct,  manufacture and distribute goods, maintain assets, and manage service-focused operations. We offer  applications that enable companies to respond quickly to market changes and use resources in a more agile way to achieve better business performance and competitive advantages. BLUE LOTUS 360’s products are known for being user friendly, modular in their design and flexible enough to support the customers in their way of working according to their established processes. The ERP software is offered in 3 editions as Express, Enterprise and Pro."
2,"Blue Lotus 360","Express Edition Features","This is the base version of the software. Features include Sales by Location Dashboard, Finance Dashboard, Inventory Dashboard, 3 Multi Locations, VAT handling, Transaction Integrity Check, Enter Key Automation, Multi Level Hierachy of All Master File and Codes, Manually overiding of Rates and Taxes, Trading Items, Chart of Accounts, Supplier Master, Customer Master, Price Configuration, User Profile, User Permissions, Purchase Order, Purchase Order Cancellation, Service order cancellation, Order Registry Report, Pending PO report, PO Registry Report, Good Received Note, Purchase return, Service received note, Item transfer, GRN registry, Stock as at quantity report, stock as at quantity report with cost price, stock as at quantity report with sales price, stock ledger, multi unit. Accounting forms include journal entry, receipt, cheque deposit, cheque return, payment, pd cheque management, cheque printing, fund transfer, credit note, debit note, bank reconciliation, set-off. Accounting reports include account ledger trial balance report, financial performance, financial position, debtors and creditors due statement and age analysis, accoutn as at report, cash book, bank reconciliation report, cheque details, pd cheque register, cheque return report, transaction registry, VAT register. Sales management forms include Sales Order, Invoice and Sales Return. Sales reports include monthly sales and returns, sales day book report, sales day book v3 report and sales return registry report."
3,"Blue Lotus 360","Pro Edition Features","All features in express and more"
4,"Blue Lotus 360","Enterprise Edition Features","All features in pro and more."
5,"Express","Set up item profile","This option is used to create your item master, Trading items and Service items. Creation of items can be done via a bulk excel upload as well. To open this form Search on the smart search option by typing “ Item Profile ” OR Use the Menu Bar on the left and navigate to Setup >> Master Data >> Item Profile. Watch this tutorial to learn more https://files.gitbook.com/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FDFA36oUtYsPQewHmAIoJ%2Fuploads%2FmBZ3zzmZjkdMtPQY2lNY%2FItem%20Profile%20Tutorial%20Video%20-%20BL360.mp4?alt=media&token=cb3520e6-40df-4572-92c3-737e6c94ecfb "
6,"Express","Set up account profile","This option is used to create all of your chart of accounts, supplier accounts, and customer accounts. Creation of accounts can be done via a bulk excel upload as well. To open this form Search on the smart search option by typing 'Account Profile' OR Use the Menu Bar on the left and navigate to Setup >> Master Data >> Account >> Account Profile. Watch this tutorial to learn more https://files.gitbook.com/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FDFA36oUtYsPQewHmAIoJ%2Fuploads%2FK7czXZyZtSXgsCsKVtj6%2FAccount%20Profile%20Tutorial%20Video%20-%20BL360.mp4?alt=media&token=a2546f14-3239-4285-8446-25c2149a6446 "
7,"Express","Forms","Header level information include Get From - Import data from a predecessor transaction.  Edit - Edit a saved transaction.  Save - Save the changes made. New - Get a fresh form. Save & New - Save changes and open up a fresh form. Print - Open the print format. Cancel - Clear all the data. Find - Find past transactions. Upload transactions - Upload bulk transactions through an excel sheet. Detail level infromation include Item - Select Item Unit - Select the relevant Unit Qty -  Add the quantity Rate - Add the sales/cost price per item Description - Add an item description Dis% - Add a discount by percentage VAT% - Add a VAT by percentage Dis Amt - Add a discount by amount VAT Amt - Add a VAT by amount Add to Grid - After adding all the relevant details click ""Add To Grid"" button to save the item to the grid. Grid level information can be seen After clicking on ""Add To Grid"" button, the items and all the details will appear here. If need to be edited, simply double click on the line items and it will appear in the detail level. Make the changes needed and add them to the grid, again. This can be repeated for each item if needed to edit multiple items."
8,"Express","Procurement forms - Purchase Order","“This option is used to raise purchase orders to the suppliers. This is only an order and no double entries will be triggered at this point.  Search on the smart search option by typing ‘ Purchase Order ‘  OR  Use the Menu Bar on the left and navigate to Procurement Management >> Purchase Order.   • PO No – Purchase Order number is unique and auto generated for every transaction  • Date – Effective date of the transaction  • Doc No – User Reference No  • Supplier- Relevant supplier account to whom the purchase order is being placed  • Description – To enter the Description applicable to the entire document  • Location – To select the location or the warehouse  • Pmt Terms – Select the payment term(Cash/Credit)  • Item Code – Select Items by Item Code or Item Name  • Unit – Unit of Measure of the selected Item defaults  • Qty – To Enter the Quantity Required  • Rate – Enter the Price of the selected Item  • Sub Total – Auto generated based on the Qty and Rate  • Dis % - Discount percentage of the item  • Dis Amt – Auto generated based on the Discount percentage  • VAT % - VAT percentage for item  • VAT Amt – Auto generated based on the VAT percentage  • Description – Enter the description applicable to the selected Item”"
9,"Express","Procurement forms - PO Cancellation","“This option is used to cancel your purchase orders. You will be able to pick the relevant Purchase Order and make a cancellation. You can either cancel the entire order or cancel few lines out of the purchase order. Search on the smart search option by typing “ Purchase Order Cancellation ”  OR  Use the Menu Bar on the left and navigate to Procurement Management >> Purchase Order Cancellation. • PO No – Purchase Order Cancellation number is unique and auto generated for every transaction. • Date – Effective date of the transaction  • Doc No – User Reference No  • Supplier- Relevant supplier account to whom the purchase order is being placed  • Description – To enter the Description applicable to the entire document  • Location – To select the location or the warehouse  • Pmt Terms – Select the payment term(Cash/Credit)  • Item Code – Select Items by Item Code or Item Name  • Unit – Unit of Measure of the selected Item defaults  • Qty – To Enter the Quantity Required • Rate – Enter the Price of the selected Item  • Sub Total – Auto generated based on the Qty and Rate  • Dis % - Discount percentage of the item  • Dis Amt – Auto generated based on the Discount percentage  • VAT % - VAT percentage for item  • VAT Amt – Auto generated based on the VAT percentage  • Description – Enter the description applicable to the selected Item”"
10,"Express","Procurement forms -  Service Order","“This option is used to raise orders for services to the suppliers. This is only an order and no double entries will be triggered at this point. Search on the smart search option by typing ‘Service Order’ OR Use the Menu Bar on the left and navigate to Procurement Management >> Service Order. • SO No – Service Order number is unique and auto generated for every transaction  • Date – Effective date of the transaction  • Doc No – User Reference No  • Supplier- Relevant supplier account to whom the purchase order is being placed  • Description – To enter the Description applicable to the entire document  • Location – To select the location  • Pmt Terms – Select the payment term(Cash/Credit)  • Item Code – Select Items by Item Code or Item Name  • Unit – Unit of Measure of the selected Item will be picked automatically  • Qty – To Enter the Quantity Required  • Rate – Enter the Price of the selected Item  • Sub Total – Auto generated based on the Qty and Rate  • Dis % - Discount percentage of the item  • Dis Amt – Auto generated based on the Discount percentage  • VAT % - VAT percentage for item  • VAT Amt – Auto generated based on the VAT percentage  • Description – Enter the description applicable to the selected Item”"
